Rank,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,Rookie
271,Trayce Jackson-Davis,"PF,C",25.5,GS,62,,,0.577,0.576,0,,6.6,5,1.7,0.4,0.6,0.7,0
272,Terry Rozier,PG,31.4,MIA,64,,,0.391,0.852,1.4,,10.6,3.7,2.6,0.6,0.2,1.2,0
273,Josh Green,"SG,SF",24.8,CHA,68,,,0.428,0.679,1.4,,7.4,2.5,1.6,1.1,0.2,1,0
289,Adou Thiero,ALL,21.3,LAL,,,,,,,,,,,,,,1
275,Jamal Shead,PG,23.1,TOR,75,,,0.405,0.772,1,,7.1,1.5,4.2,0.8,0.1,1.6,0
315,Nikola Djurisic,SF,21.5,ATL,,,,,,,,,,,,,,1
632,Mark Armstrong,ALL,21.5,BKN,,,,,,,,,,,,,,1
160,Cedric Coward,ALL,21.9,MEM,,,,,,,,,,,,,,1
279,Kevin Huerter,"SG,SF",27,CHI,69,,,0.425,0.718,1.9,,9.9,3,2.3,1,0.3,1,0
280,Jonathan Mogbo,"PF,C",23.8,TOR,63,,,0.439,0.731,0.3,,6.2,4.9,2.3,0.9,0.5,1.1,0
281,Bogdan Bogdanovic,"SG,SF",33,LAC,54,,,0.427,0.877,1.9,,10.8,2.9,2.7,0.8,0.2,1.4,0
282,Brandon Clarke,"PF,C",28.9,MEM,64,,,0.621,0.699,0,,8.3,5.1,1,0.8,0.6,0.6,0
283,Julian Champagnie,"SF,PF",24.1,SA,82,,,0.416,0.904,2.2,,9.9,3.9,1.4,0.7,0.4,0.9,0
507,AJ Griffin,"SF,PF",22,HOU,,,,,,,,,,,,,,1
285,Vít Krejcí,"SG,SF",25.2,ATL,57,,,0.496,0.709,1.6,,7.2,2.7,2.6,0.6,0.5,0.9,0
286,Andre Jackson Jr.,"SG,SF",23.8,MIL,67,,,0.476,0.5,0.5,,3.4,2.7,1.2,0.5,0.2,0.9,0
598,Alex Fudge,ALL,22.3,DAL,,,,,,,,,,,,,,1
670,Kendall Brown,"SG,SF",22.3,IND,,,,,,,,,,,,,,1
235,Maxime Raynaud,ALL,22.4,SAC,,,,,,,,,,,,,,1
255,Yanic Konan Niederhauser,ALL,22.4,LAC,,,,,,,,,,,,,,1
291,Isaac Okoro,"SF,PF",24.6,CHI,55,,,0.464,0.714,1,,6.1,2.4,1.2,0.6,0.3,0.4,0
292,Tristan Da Silva,SF,24.3,ORL,74,,,0.412,0.871,1.1,,7.2,3.3,1.5,0.4,0.2,0.8,0
293,Cody Williams,SF,20.7,UTA,50,,,0.323,0.725,0.7,,4.6,2.3,1.2,0.5,0.3,0.9,0
294,Bronny James,SG,20.9,LAL,27,,,0.315,0.788,0.3,,2.3,0.7,0.8,0.3,0.1,0.5,0
295,Kelly Olynyk,"PF,C",34.3,SA,44,,,0.501,0.771,0.8,,8.7,4.7,2.9,0.8,0.4,1.7,0
296,Precious Achiuwa,"PF,C",25.9,NY,57,,,0.502,0.595,0.2,,6.6,5.6,1,0.8,0.7,0.8,0
167,Walter Clayton Jr.,ALL,22.5,UTA,,,,,,,,,,,,,,1
298,Jarred Vanderbilt,"PF,C",26.4,LAL,36,,,0.488,0.56,0.3,,4.1,5.1,1.1,1,0.3,0.8,0
492,Joshua Primo,SG,22.6,FA,,,,,,,,,,,,,,0
300,Brandon Boston Jr,"SG,SF,PF",23.7,NO,42,,,0.436,0.792,1.2,,10.7,3.2,2.2,1.3,0.2,1.2,0
301,Jonas Valanciunas,C,33.3,DEN,81,,,0.55,0.877,0.1,,10.4,7.7,2,0.5,0.6,1.5,0
302,Russell Westbrook,"PG,SG",36.8,DEN,75,,,0.449,0.659,1.3,,13.3,4.9,6.1,1.4,0.5,3.2,0
303,Tim Hardaway Jr.,"SG,SF",33.4,DEN,77,,,0.405,0.856,2.2,,11,2.4,1.6,0.5,0.1,0.6,0
256,Sion James,ALL,22.7,CHA,,,,,,,,,,,,,,0
305,Jalen Wilson,"SF,PF",24.8,BKN,79,,,0.396,0.818,1.5,,9.5,3.4,1.8,0.5,0.1,1,0
306,Duncan Robinson,"SG,SF",31.3,DET,74,,,0.438,0.889,2.6,,11,2.3,2.4,0.5,0.1,1.2,0
307,AJ Johnson,SG,22.7,WAS,29,,,0.386,0.859,0.8,,7.6,2,2.6,0.4,0.1,1.2,0
308,Steven Adams,C,32.1,HOU,57,,,0.546,0.46,0,,3.9,5.7,1.2,0.4,0.5,0.9,0
309,Malcolm Brogdon,"PG,SG",32.7,WAS,24,,,0.433,0.883,0.7,,12.7,3.8,4.1,0.5,0.2,1.6,0
310,Sam Hauser,"SF,PF",27.7,BOS,71,,,0.451,1,2.3,,8.5,3.2,0.9,0.6,0.2,0.3,0
311,Kobe Bufkin,"PG,SG",21.9,ATL,10,,,0.383,0.722,0.4,,5.3,2.1,1.7,0.3,0.2,0.8,0
312,Ben Simmons,"PG,C",29.1,LAC,51,,,0.522,0.723,0,,5,4.7,5.6,0.8,0.5,2,0
313,Wendell Moore Jr.,"SG,SF",23.9,CHA,36,,,0.469,0.82,0.4,,4.2,2.6,1.2,0.6,0.1,0.8,0
314,Justin Champagnie,"SG,SF",24.1,WAS,62,,,0.513,0.686,1.2,,8.8,5.7,1,1,0.6,0.9,0
608,Jaylin Galloway,ALL,22.7,MIL,,,,,,,,,,,,,,0
316,Jared Butler,"PG,SG",25,PHO,60,,,0.446,0.822,1,,9,1.8,3.7,0.7,0.2,1.3,0
317,Ochai Agbaji,"SG,SF",25.3,TOR,64,,,0.499,0.707,1.6,,10.4,3.8,1.5,0.9,0.5,0.8,0
318,Jordan Clarkson,"SG,SF",33.2,NY,37,,,0.408,0.798,2.3,,16.2,3.2,3.7,0.8,0.2,2.3,0
319,Ajay Mitchell,PG,23.1,OKC,36,,,0.498,0.835,0.6,,6.6,1.9,1.8,0.7,0.1,0.8,0
320,Taurean Prince,"SG,SF",31.4,MIL,80,,,0.457,0.817,1.8,,8.2,3.6,1.9,1,0.2,1,0
321,Bol Bol,"PF,C",25.8,PHO,36,,,0.526,0.778,0.9,,6.8,2.9,0.6,0.3,0.7,0.6,0
322,Tidjane Salaun,PF,20,CHA,60,,,0.33,0.713,1,,5.9,4.7,1.2,0.5,0.2,1,0
323,Caleb Martin,"SG,SF",29.9,DAL,45,,,0.425,0.624,0.8,,7.9,3.9,2.1,1,0.5,1.2,0
324,Zach Collins,"PF,C",27.7,CHI,64,,,0.506,0.885,0.5,,6.4,4.5,1.7,0.5,0.5,0.9,0
325,Richaun Holmes,C,31.8,WAS,31,,,0.647,0.83,0,,7.4,5.7,1.4,0.3,0.7,0.7,0
326,Jaylin Williams,"PF,C",23.1,OKC,47,,,0.438,0.766,1.3,,5.9,5.6,2.6,0.5,0.6,0.7,0
327,Luke Kennard,"PG,SG",29.1,ATL,65,,,0.478,0.886,1.7,,8.9,2.8,3.3,0.8,0.1,1.1,0
328,Jett Howard,SF,21.9,ORL,60,,,0.373,0.711,0.9,,4.5,1.2,0.7,0.2,0.2,0.6,0
329,Dalano Banton,"SG,SF",25.8,POR,67,,,0.391,0.727,1.1,,8.3,2,2.4,0.6,0.5,1.3,0
330,John Konchar,"SG,SF",29.4,MEM,46,,,0.449,0.882,0.5,,2.4,3.3,0.9,0.7,0.3,0.3,0
331,Trendon Watford,"PF,C",24.8,PHI,43,,,0.468,0.761,0.7,,10.5,3.7,2.7,0.6,0.3,1.9,0
332,James Wiseman,C,24.4,IND,1,,,0.5,1,0,,6,1,0,0,0,0,0
333,Chris Paul,PG,40.3,LAC,82,,,0.428,0.929,1.7,,8.8,3.6,7.4,1.3,0.3,1.6,0
334,Bobi Klintman,PF,22.5,DET,8,,,0.6,0.52,0.3,,1.9,0.9,0.9,0.3,0.1,0.1,0
335,Terance Mann,"SG,SF",28.8,BKN,67,,,0.497,0.693,0.9,,7.7,3,1.8,0.7,0.2,0.7,0
336,Duop Reath,C,29.1,POR,46,,,0.421,0.896,0.7,,4.2,2,0.6,0.3,0.3,0.3,0
337,Cameron Payne,"PG,SG",31,NY,72,,,0.402,0.907,1.3,,6.9,1.4,2.8,0.5,0.2,0.7,0
338,Johnny Furphy,SG,20.7,IND,50,,,0.38,0.818,0.3,,2.1,1.4,0.4,0.4,0.2,0.2,0
339,Maxi Kleber,"PF,C",33.5,LAL,34,,,0.387,0.758,0.4,,3,2.8,1.3,0.3,0.5,0.7,0
340,Georges Niang,"SF,PF",32.2,BOS,79,,,0.461,0.795,2.1,,9.9,3.4,1.4,0.4,0.2,1,0
341,Keon Johnson,"PG,SG",23.4,BKN,79,,,0.389,0.767,1.6,,10.6,3.8,2.2,1,0.4,1.5,0
342,Ariel Hukporti,C,23.3,NY,25,,,0.677,0.462,0,,1.9,2,0.4,0,0.6,0.8,0
343,Spencer Dinwiddie,"PG,SG",32.4,CHA,79,,,0.416,0.802,1.4,,11,2.6,4.4,0.9,0.2,1.3,0
344,AJ Green,"PG,SG",25.9,MIL,73,,,0.429,0.811,2.1,,7.4,2.4,1.5,0.5,0.1,0.5,0
345,Leonard Miller,PF,21.7,MIN,13,,,0.4,1,0,,1.5,0.8,0,0.2,0.1,0.2,0
346,Malaki Branham,"PG,SG",22.3,WAS,47,,,0.458,0.814,0.7,,5,1.1,0.8,0.2,0,0.7,0
347,Dante Exum,"PG,SG",30.1,DAL,20,,,0.478,0.742,1.2,,8.7,1.7,2.8,0.6,0.2,1.1,0
348,Markelle Fultz,"PG,SG",27.2,SAC,21,,,0.417,1,0.2,,2.9,1,1.3,0.5,0.1,0.7,0
349,Eric Gordon,"SG,SF",36.6,PHI,39,,,0.426,0.748,1.4,,6.8,1.2,1.7,0.7,0.3,0.7,0
350,Kentavious Caldwell-Pope,"SG,SF",32.5,MEM,77,,,0.439,0.862,1.5,,8.7,2.2,1.8,1.3,0.4,0.8,0
351,Ja'Kobe Walter,SG,21,TOR,52,,,0.405,0.794,1.3,,8.6,3.1,1.6,0.8,0.2,1,0
352,Harrison Barnes,"SF,PF",33.2,SA,82,,,0.508,0.807,1.9,,12.3,3.8,1.7,0.5,0.2,0.6,0
353,Marvin Bagley III,"PF,C",26.4,WAS,31,,,0.518,0.655,0.1,,4.4,2.7,0.4,0.3,0.3,0.4,0
354,Pacome Dadiet,SF,20.1,NY,18,,,0.326,0.667,0.3,,1.7,1,0.3,0.2,0.1,0.2,0
355,Baylor Scheierman,SG,24.9,BOS,31,,,0.355,0.744,0.8,,3.6,2.1,1.1,0.5,0.1,0.4,0
356,Jabari Walker,"SF,PF",23,PHI,60,,,0.516,0.695,0.5,,5.2,3.5,0.6,0.6,0.1,0.6,0
357,Tosan Evbuomwan,"SF,PF",24.5,BKN,28,,,0.427,0.751,0.9,,9.5,4.3,2,0.9,0.4,1.4,0
358,Moritz Wagner,C,28.3,ORL,30,,,0.563,0.717,0.9,,12.9,4.9,1.4,0.8,0.4,1.6,0
359,MarJon Beauchamp,"SG,SF",24.8,NY,35,,,0.414,0.754,0.3,,2.3,1.3,0.3,0.1,0,0.4,0
360,Luke Kornet,C,30.1,SA,73,,,0.667,0.692,0,,6,5.3,1.6,0.5,1,0.4,0
297,Koby Brea,ALL,22.8,PHO,,,,,,,,,,,,,,0
362,Larry Nance Jr.,"PF,C",32.6,CLE,24,,,0.515,0.704,1.4,,8.5,4.3,1.6,0.8,0.5,0.7,0
363,Bobby Portis,"PF,C",30.5,MIL,49,,,0.465,0.832,1.3,,13.9,8.4,2.1,0.7,0.5,1.2,0
364,Caleb Houstan,"SG,SF",22.6,ATL,58,,,0.421,0.897,1.1,,4.1,1.3,0.6,0.4,0.1,0.2,0
365,Jeremiah Robinson-Earl,"PF,C",24.8,NO,66,,,0.454,0.843,0.9,,6.3,4.8,1.3,0.6,0.1,0.8,0
366,Jesse Edwards,C,25.4,MIN,2,,,0,0,0,,0,0,0.5,0,0,0,0
367,Andre Drummond,C,32,PHI,40,,,0.501,0.622,0.1,,7.3,7.8,0.9,1,0.5,1.4,0
368,Matisse Thybulle,"SG,SF",28.5,POR,15,,,0.477,0.47,1.4,,7.5,3.5,1.9,2.2,0.6,0.9,0
369,Paul Reed,"PF,C",26.2,DET,45,,,0.506,0.763,0.2,,4.1,2.7,1,0.9,0.6,0.6,0
370,Alec Burks,"SG,SF",34.1,MIA,49,,,0.425,0.78,1.8,,7.3,2.5,1.1,0.6,0.1,0.6,0
371,Marcus Sasser,PG,24.9,DET,57,,,0.462,0.843,1,,6.6,1.2,2.3,0.6,0.1,0.9,0
372,Johnny Juzang,"SG,SF",24.4,UTA,64,,,0.43,0.843,1.8,,8.9,2.9,1.1,0.6,0.1,0.6,0
373,Trey Jemison,C,25.7,LAL,38,,,0.554,0.391,0,,2.5,2.8,0.4,0.2,0.4,0.6,0
374,Trevelin Queen,SG,28.5,ORL,31,,,0.382,0.853,0.7,,4.9,1.7,1.2,1,0.3,0.7,0
375,Pelle Larsson,SG,24.5,MIA,55,,,0.439,0.676,0.6,,4.6,1.7,1.2,0.6,0.1,0.4,0
376,Grant Williams,"PF,C",26.7,CHA,16,,,0.443,0.84,1.7,,10.4,5.1,2.3,1.1,0.8,1.8,0
378,Tyler Kolek,PG,24.4,NY,41,,,0.33,0.78,0.3,,2,0.7,1.7,0.3,0.1,0.4,0
379,Malik Beasley,"SG,SF",28.7,DET,82,,,0.43,0.678,3.9,,16.3,2.6,1.7,0.9,0.1,1,0
380,Daniel Theis,C,33.4,NO,38,,,0.475,0.845,0.2,,4.3,4.3,1.6,0.5,0.5,0.7,0
573,Ibou Badji,C,22.8,MIL,,,,,,,,,,,,,,0
382,Gary Harris,"PG,SG",30.9,MIL,48,,,0.383,0.6,0.8,,3,1.3,0.6,0.5,0.3,0.4,0
383,Trey Lyles,"PF,C",29.8,SAC,69,,,0.421,0.698,1.2,,6.5,4.6,1.2,0.6,0.3,0.6,0
384,Aaron Wiggins,"SG,SF",26.6,OKC,76,,,0.487,0.829,1.7,,12,3.9,1.8,0.8,0.2,0.9,0
385,Oso Ighodaro,C,23.1,PHO,61,,,0.603,0.585,0,,4.2,3.6,1.2,0.5,0.5,0.6,0
386,Reggie Jackson,"PG,SG",35.3,PHI,31,,,0.392,0.793,0.8,,4.4,1.4,1.5,0.5,0.1,0.5,0
387,Chris Duarte,SG,28.2,CHI,17,,,0.464,0.745,0.4,,2.1,1.2,0.5,0,0,0.1,0
388,Dariq Whitehead,"SG,SF",21,BKN,20,,,0.406,0.6,1.7,,5.7,1.5,0.6,0.3,0.1,0.8,0
195,DaRon Holmes II,PF,23,DEN,,,,,,,,,,,,,,0
390,Derrick Jones Jr.,"SF,PF",28.5,LAC,77,,,0.527,0.706,1,,10.1,3.4,0.8,1,0.4,0.9,0
391,Bones Hyland,"PG,SG",24.9,MIN,24,,,0.398,0.889,1.3,,6.2,1,1.3,0.8,0.2,1,0
392,PJ Hall,C,23.5,MEM,19,,,0.587,0.762,0.1,,1.7,1.2,0.2,0,0.2,0.1,0
393,Xavier Tillman Sr.,"PF,C",26.6,BOS,33,,,0.242,0.75,0.2,,1,1.3,0.2,0.3,0.2,0.4,0
394,KJ Simpson,PG,23,CHA,36,,,0.346,0.82,0.9,,7.8,3,3.1,0.9,0.2,1.6,0
395,Kyle Anderson,"SF,PF",31.9,UTA,61,,,0.469,0.738,0.4,,5.9,3.4,2.4,0.7,0.5,0.6,0
396,Kevon Looney,"PF,C",29.5,NO,76,,,0.514,0.569,0,,4.5,6.1,1.6,0.6,0.5,0.5,0
397,Jalen Hood-Schifino,"PG,SG",22.2,PHI,15,,,0.378,0.857,0.9,,7.1,1.8,2.5,0.3,0.5,1.2,0
398,Dario Saric,"PF,C",31.4,SAC,16,,,0.361,0.698,0.4,,3.5,3.1,1.4,0.4,0.1,0.9,0
399,Craig Porter Jr.,"PG,SG",25.5,CLE,51,,,0.513,0.714,0.4,,3.7,1.3,1.4,0.3,0.3,0.7,0
400,Landry Shamet,"PG,SG",28.4,NY,50,,,0.461,0.667,1.2,,5.7,1.2,0.5,0.5,0,0.4,0
401,Terrence Shannon Jr.,SG,25,MIN,32,,,0.483,0.803,0.3,,4.3,1.5,1,0.2,0.2,0.5,0
402,Nick Smith Jr.,"PG,SG",21.3,CHA,60,,,0.39,0.935,1.7,,9.9,2.1,2.4,0.3,0.1,1.4,0
403,Jae'Sean Tate,"SF,PF",29.8,HOU,52,,,0.474,0.689,0.3,,3.6,2.3,0.9,0.5,0.1,0.4,0
404,Sam Merrill,SG,29.3,CLE,71,,,0.405,0.951,1.9,,7.2,2.2,1.5,0.7,0.2,0.5,0
405,Cam Christie,SG,20.1,LAC,13,,,0.292,0.484,0.2,,1.4,0.9,0.5,0.4,0.1,0.2,0
406,Talen Horton-Tucker,"PG,SG",24.7,CHI,58,,,0.456,0.734,0.7,,6.5,1.7,1.4,0.4,0.2,0.7,0
407,Mike Conley,PG,37.9,MIN,71,,,0.399,0.898,1.8,,8.2,2.6,4.5,1.1,0.2,1.1,0
408,Mo Bamba,C,27.3,NO,32,,,0.466,0.702,0.5,,4.3,4.5,0.6,0.3,1,0.6,0
409,Josh Minott,"SF,PF",22.7,BOS,46,,,0.49,0.902,0.3,,2.6,1,0.4,0.3,0.3,0.2,0
410,Svi Mykhailiuk,"SG,SF",28.2,UTA,38,,,0.391,0.804,1.8,,8.8,2.4,2,0.5,0.2,1.4,0
411,Gary Payton II,"SG,SF",32.7,GS,62,,,0.574,0.721,0.5,,6.5,3,1.3,0.8,0.3,0.6,0
412,Christian Koloko,C,25.2,LAL,37,,,0.607,0.711,0,,2.4,2.5,0.4,0.2,0.4,0.3,0
413,Dorian Finney-Smith,"SF,PF,C",32.3,HOU,63,,,0.449,0.676,2.1,,8.7,3.9,1.4,0.9,0.4,0.9,0
414,Jaylon Tyson,SG,22.7,CLE,47,,,0.429,0.784,0.4,,3.6,2,0.9,0.3,0.1,0.6,0
415,Tyler Smith,PF,20.8,MIL,23,,,0.479,0.743,0.6,,2.9,1.1,0.2,0.1,0.2,0.3,0
416,Trey Alexander,SG,23.3,NO,23,,,0.32,0.765,0.1,,1.4,0.5,0.5,0.1,0,0.2,0
417,Royce O'Neale,"SF,PF",32.2,PHO,75,,,0.422,0.714,2.4,,9.1,4.7,2.2,0.9,0.5,0.9,0
418,Ousmane Dieng,"SF,PF",22.2,OKC,37,,,0.432,0.698,0.6,,3.8,2.2,0.8,0.5,0.2,0.5,0
419,Drew Eubanks,C,28.5,SAC,60,,,0.594,0.661,0.1,,4.7,3.8,0.9,0.2,0.7,0.7,0
420,Emoni Bates,"SG,SF",21.6,CLE,10,,,0.342,0,1.1,,3.7,0.7,0.8,0.1,0.1,0.2,0
421,Nicolas Batum,"SF,PF",36.7,LAC,78,,,0.436,0.815,1.1,,4,2.8,1.1,0.7,0.5,0.4,0
422,Josh Richardson,"PG,SG",31.9,MIA,8,,,0.291,1,0.8,,4,1.5,1.5,1,0.1,1,0
423,Cody Martin,"SG,SF",29.9,PHO,53,,,0.419,0.704,0.8,,6.8,4.2,2,1.1,0.6,1,0
424,Dillon Jones,SF,23.8,WAS,54,,,0.382,0.596,0.3,,2.5,2.2,1.1,0.3,0.1,0.5,0
425,Killian Hayes,"PG,SG",24.1,BKN,6,,,0.418,0.835,1.3,,9,3,5.2,0.7,0.7,1.5,0
502,Kenneth Lofton Jr.,"PF,C",23,CHI,,,,,,,,,,,,,,0
427,Josh Okogie,"SG,SF",27,HOU,40,,,0.443,0.742,0.8,,7.1,2.8,0.9,1.2,0.5,0.8,0
428,Jalen McDaniels,"SF,PF",27.5,SAC,4,,,0,0,0,,0,0,0.3,0.3,0,0,0
288,Johni Broome,ALL,23.1,PHI,,,,,,,,,,,,,,0
430,Kai Jones,C,24.6,DAL,40,,,0.799,0.725,0,,5,3.1,0.6,0.4,0.6,0.5,0
431,Amir Coffey,"SF,PF",28.2,LAC,72,,,0.47,0.894,1.4,,9.7,2.2,1.1,0.6,0.1,0.6,0
220,Nique Clifford,ALL,23.5,SAC,,,,,,,,,,,,,,0
433,Vasilije Micic,"PG,SG",31.6,MIL,41,,,0.347,0.83,1.1,,6.6,2.2,3.1,0.4,0,1.9,0
434,Pat Connaughton,"SG,SF",32.6,CHA,41,,,0.468,0.776,0.6,,5.3,2.7,1.7,0.2,0.3,0.6,0
435,Al Horford,"PF,C",39.2,BOS,60,,,0.423,0.905,1.9,,9,6.2,2.1,0.6,0.9,0.8,0
436,Bryce McGowens,"SG,SF",22.8,POR,13,,,0.287,0.826,0,,1,0.2,0.2,0.1,0,0.3,0
437,Seth Curry,SG,35,CHA,68,,,0.478,0.86,1.2,,6.5,1.7,0.9,0.4,0.1,0.5,0
438,Gabe Vincent,"PG,SG",29.2,LAL,72,,,0.4,0.724,1.5,,6.4,1.3,1.4,0.7,0.2,0.6,0
439,Kevin McCullar Jr.,SF,24.4,NY,4,,,0.286,1,0,,1.5,2,0.5,0.3,0.3,0,0
440,Cam Spencer,SG,25.4,MEM,25,,,0.415,1,0.8,,4.2,1.2,1.4,0.4,0,0.2,0
441,Olivier-Maxence Prosper,PF,23.1,DAL,52,,,0.403,0.644,0.2,,3.9,2.4,0.8,0.5,0.1,0.3,0
442,David Roddy,"SF,PF",24.4,HOU,33,,,0.456,0.772,0.6,,4.6,2.5,1.1,0.4,0.3,0.7,0
443,Jock Landale,C,29.8,MEM,42,,,0.533,0.674,0.3,,4.8,3.3,0.9,0.3,0.2,0.5,0
444,Bismack Biyombo,C,33,SA,28,,,0.587,0.404,0,,5.1,5.6,1.1,0.6,0.8,0.9,0
445,Sandro Mamukelashvili,"PF,C",26.2,TOR,61,,,0.501,0.737,1,,6.3,3.1,0.8,0.4,0.3,0.4,0
446,Dru Smith,"PG,SG",27.6,MIA,14,,,0.507,0.763,1.1,,6.3,2.6,1.6,1.5,0.4,1.2,0
447,Collin Gillespie,PG,26.1,PHO,33,,,0.43,0.866,1.2,,5.9,2.4,2.4,0.6,0.2,0.5,0
449,Pat Spencer,ALL,29.1,GS,39,,,0.405,0.737,0.1,,2.5,1.2,1.2,0.4,0.1,0.5,0
450,Doug McDermott,"SG,SF",33.6,SAC,42,,,0.427,0.583,1.1,,3.5,0.5,0.2,0.1,0,0.1,0
158,Ryan Kalkbrenner,ALL,23.6,CHA,,,,,,,,,,,,,,0
452,Zeke Nnaji,"PF,C",24.6,DEN,57,,,0.498,0.61,0.3,,3.2,1.6,0.4,0.4,0.7,0.2,0
287,Alijah Martin,ALL,23.6,TOR,,,,,,,,,,,,,,0
454,Kenrich Williams,PF,30.7,OKC,69,,,0.483,0.719,1,,6.3,3.5,1.4,0.6,0.1,0.6,0
455,Dwight Powell,C,34.1,DAL,55,,,0.685,0.654,0,,2.1,2.1,1,0.3,0.4,0.3,0
456,Jevon Carter,"PG,SG",29.9,CHI,36,,,0.377,0.786,1,,4.3,1.1,1.1,0.4,0.1,0.3,0
457,Enrique Freeman,PF,25.1,IND,21,,,0.432,0.642,0.1,,2.1,1.4,0.4,0.1,0.1,0.3,0
477,Aleksej Pokuševski,"PF,C",23.6,FA,,,,,,,,,,,,,,0
459,Dean Wade,"SF,PF",28.7,CLE,59,,,0.414,0.529,1.4,,5.4,4.2,1.3,0.7,0.3,0.4,0
276,Chaz Lanier,ALL,23.7,DET,,,,,,,,,,,,,,0
461,Delon Wright,"PG,SG",33.3,NY,40,,,0.345,0.603,0.5,,3.1,1.7,1.9,0.9,0.3,0.6,0
462,Blake Wesley,"PG,SG",22.4,POR,58,,,0.436,0.629,0.3,,3.7,1.1,2,0.6,0.1,0.9,0
290,Chaz Lanier,ALL,23.7,DET,,,,,,,,,,,,,,0
464,Jaden Springer,SG,22.9,UTA,43,,,0.388,0.716,0.3,,2.5,1.3,0.8,0.6,0.1,0.4,0
465,Jalen Bridges,SF,24.3,PHO,8,,,0.284,0.76,0.3,,1.1,0.5,0,0,0,0.5,0
466,Kenyon Martin Jr.,"SF,PF",24.6,UTA,43,,,0.552,0.789,0.4,,6.4,2.9,1.1,0.4,0.5,0.6,0
467,Simone Fontecchio,"SF,PF",29.7,MIA,75,,,0.402,0.83,1,,5.9,2.9,0.9,0.4,0.2,0.7,0
468,Keshad Johnson,PF,24.2,MIA,16,,,0.693,0.446,0.2,,2.7,1.8,0.3,0.3,0.3,0.3,0
469,Tristen Newton,PG,24.3,MIN,8,,,0.13,1,0,,0.4,0.5,0.3,0.1,0,0.3,0
470,Johnny Davis,"SG,SF",23.5,MEM,34,,,0.41,0.591,0.2,,2.4,1.1,0.3,0.4,0.2,0.2,0
471,David Jones,SF,23.7,SA,,,,,,,,,,,,,,0
473,Charles Bassey,C,24.8,SA,36,,,0.582,0.63,0,,4.4,4.2,0.5,0.4,0.8,0.6,0
474,Ulrich Chomche,PF,19.6,TOR,7,,,0.408,0.483,0,,0.7,1.1,0.3,0,0.1,0.3,0
475,Bruno Fernando,C,27,TOR,17,,,0.531,0.745,0,,3.4,3,1.1,0.2,0.5,0.8,0
476,Haywood Highsmith,"SF,PF",28.7,MIA,74,,,0.458,0.724,1.2,,6.5,3.4,1.5,0.9,0.5,0.7,0
579,Isaiah Todd,"PF,C",23.8,FA,,,,,,,,,,,,,,0
479,Monte Morris,"PG,SG",30.1,PHO,45,,,0.425,0.86,0.7,,5.2,1.5,1.6,0.4,0.1,0.5,0
480,Lonnie Walker IV,"SG,SF",26.7,PHI,20,,,0.42,0.8,2.3,,12.4,3.2,2.5,0.5,0.3,1.3,0
481,Cam Reddish,"SG,SF",26,LAL,33,,,0.404,0.608,0.4,,3.2,2,0.7,1,0.3,0.4,0
482,Jericho Sims,C,26.8,MIL,53,,,0.634,0.6,0,,1.8,3.7,0.6,0.2,0.4,0.6,0
483,Shake Milton,"PG,SG",28.9,LAL,57,,,0.453,0.788,0.7,,5.5,1.8,1.8,0.4,0.1,0.7,0
587,DJ Steward,ALL,23.9,CHI,,,,,,,,,,,,,,0
485,Kobe Brown,PF,25.6,LAC,40,,,0.461,0.722,0.2,,1.9,1.6,0.6,0.2,0.1,0.3,0
486,Malachi Flynn,PG,27.3,SA,4,,,0.385,0.833,0.3,,4,1.8,1.8,0.8,0,1,0
284,Micah Peavy,ALL,24.1,NO,,,,,,,,,,,,,,0
488,JT Thor,PF,23,WAS,20,,,0.424,0.682,0.3,,3.6,2.4,0.3,0.4,0.5,0.5,0
489,Colby Jones,SG,23.2,DET,39,,,0.456,0.656,0.4,,4,2.2,1.1,0.7,0.3,0.6,0
490,Sidy Cissoko,"SF,PF",21.4,POR,22,,,0.434,0.341,0.1,,1.5,1,0.7,0.1,0,0.5,0
640,Tristan Enaruna,ALL,24.1,BOS,,,,,,,,,,,,,,0
578,Theo Maledon,PG,24.2,FA,,,,,,,,,,,,,,0
493,Dalen Terry,"SG,SF",23.1,CHI,73,,,0.447,0.705,0.5,,4.5,1.7,1.3,0.6,0.2,0.7,0
494,Mason Plumlee,C,35.5,CHA,74,,,0.619,0.647,0,,4.5,6.1,1.8,0.4,0.6,0.8,0
495,Jalen Pickett,"PG,SG",25.8,DEN,49,,,0.428,0.75,0.8,,4.1,1.4,2.2,0.4,0.1,0.5,0
496,Rayan Rupert,"SG,SF",21.2,POR,52,,,0.41,0.759,0.3,,3,1.3,0.5,0.3,0.1,0.6,0
497,Kyle Lowry,PG,39.4,PHI,35,,,0.35,0.819,0.8,,3.9,1.9,2.7,0.9,0.3,0.6,0
499,Kira Lewis Jr,"PG,SG",24.4,FA,,,,,,,,,,,,,,0
503,Usman Garuba,"PF,C",24.4,FA,,,,,,,,,,,,,,0
500,Ricky Council IV,"SG,SF",24,PHI,73,,,0.382,0.8,0.8,,7.3,2.9,1.3,0.4,0.2,0.7,0
501,Orlando Robinson,C,25.1,ORL,44,,,0.445,0.774,0.4,,6.9,5,1.8,0.4,0.4,1.1,0
