Rank,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,Rookie
107,Michael Porter Jr.,"SF,PF",27.1,BKN,77,,,0.504,0.77,2.5,,18.2,7,2.1,0.6,0.5,1.4,0
108,Jared McCain,"PG,SG",21.5,PHI,23,,,0.46,0.877,2.2,,15.3,2.4,2.6,0.7,0,1.6,0
109,Cam Thomas,"SG,SF",23.8,BKN,25,,,0.438,0.881,2.7,,24,3.3,3.8,0.6,0.1,2.5,0
110,Deandre Ayton,C,27.1,LAL,40,,,0.567,0.667,0.2,,14.4,10.2,1.6,0.8,1,1.7,0
111,Brandin Podziemski,"PG,SG",22.5,GS,64,,,0.446,0.764,1.8,,11.7,5.1,3.4,1.1,0.2,1.2,0
112,Jaden McDaniels,"SF,PF",24.9,MIN,82,,,0.477,0.814,1.2,,12.2,5.7,2,1.3,0.9,1.2,0
113,Kawhi Leonard,"SG,SF,PF",34.1,LAC,37,,,0.498,0.81,2.1,,21.5,5.9,3.1,1.6,0.5,1.9,0
114,Keegan Murray,"SF,PF",25,SAC,76,,,0.444,0.832,2,,12.4,6.7,1.4,0.8,0.9,0.8,0
115,RJ Barrett,"SG,SF,PF",25.2,TOR,58,,,0.468,0.631,1.8,,21.1,6.3,5.4,0.8,0.3,2.9,0
116,Julius Randle,"PF,C",30.7,MIN,69,,,0.484,0.805,1.6,,18.7,7.1,4.7,0.7,0.2,2.8,0
117,DeMar DeRozan,"SF,PF",36,SAC,77,,,0.477,0.857,1.1,,22.2,3.9,4.4,0.8,0.4,1.4,0
118,Payton Pritchard,"PG,SG",27.6,BOS,80,,,0.472,0.848,3.2,,14.3,3.8,3.5,0.9,0.2,1,0
119,Zaccharie Risacher,"SF,PF",20.4,ATL,75,,,0.458,0.709,1.6,,12.6,3.6,1.2,0.7,0.5,1.2,0
120,Keyonte George,"PG,SG",21.8,UTA,67,,,0.391,0.819,2.6,,16.8,3.8,5.6,0.7,0.1,2.7,0
